country,power_index_rank,power_index_score,purchasing_power_parity,foreign_exchange/gold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_(usable),total_population,available_manpower,fit-for-service,reaching_mil_age_annually,tot_mil._personnel_(est.),active_personnel,reserve_personnel,paramilitary,air_force_personnel*,army_personnel*,navy_personnel*,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_(fixed-wing),trainers,special-mission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,self-propelled_artillery,towed_artillery,mlrs_(rocket_artillery),total_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,nat.gas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports_/_trade_terminals,airports,roadway_coverage,railway_coverage,total_tonnage
2026Democratic Republic of the Congo Military Strength,64,1.3051,80,105,98,41,11,3,125,9,14,18,18,10,"207,380",35,65,39,74,44,48,"2,506,815",78,145,42,41,75,145,145,62,36,57,71,64,57,41,69,145,145,145,145,145,145,50,145,61,26,"-16,000 bbl",52,93,3,0 cu.m,91,145,34,"-304,000 mt",44,48,17,102,44,24,34,47,
2026Honduras Military Strength,103,2.2575,106,86,112,40,97,39,35,80,90,89,92,102,"75,225",72,145,30,47,57,57,"94,089",83,60,41,41,67,30,145,85,145,93,92,145,80,145,37,145,145,145,145,145,145,16,145,85,42,"-70,980 bbl",145,145,1,0 cu.m,145,145,29,"-144,000 mt",145,35,91,36,39,37,120,97,
2026Finland Military Strength,48,0.8673,60,68,40,127,63,46,62,20,110,111,109,120,"947,800",105,10,22,17,79,48,"55,554",51,33,145,40,35,30,145,72,145,60,44,33,16,43,19,145,145,145,145,145,145,57,5,72,71,"-167,000 bbl",145,145,30,"-1,157,000,000 cu.m",145,62,66,"-3,122,000 mt",145,7,105,46,19,48,48,33,50
2026Bulgaria Military Strength,62,1.2522,73,51,73,57,99,18,43,79,99,100,97,118,"39,950",86,89,145,48,80,54,"60,273",74,55,43,45,54,145,145,74,41,41,76,47,86,63,51,145,145,145,13,14,145,145,6,76,52,"-97,000 bbl",75,84,42,"-2,780,163,000 cu.m",82,20,95,"+413,000 mt",31,21,101,75,45,43,112,45,
2026Nepal Military Strength,124,2.8037,82,76,121,30,90,999,72,145,50,46,44,28,"195,500",58,50,34,87,49,145,"768,237",100,145,145,44,145,145,145,86,145,145,123,145,91,145,,,,,,,,,,145,42,"-71,000 bbl",145,145,1,0 cu.m,145,74,46,"-1,082,000 mt",74,37,63,145,145,70,77,120,
2026United Arab Emirates Military Strength,54,1.0188,37,16,24,118,109,48,20,145,88,76,67,105,"207,000",67,41,38,52,74,62,"79,245",18,23,17,22,16,11,12,19,22,38,61,24,64,52,40,145,145,145,145,7,145,36,17,8,106,"+3,300,000 bbl",7,15,101,"-9,408,000,000 cu.m",8,145,74,"-5,411,000 mt",145,1,69,29,28,78,138,145,49
2026Slovenia Military Strength,91,1.9404,93,117,79,94,137,4,25,71,135,131,130,134,"38,000",135,68,45,95,84,80,"22,578",86,145,145,46,56,145,145,80,145,84,93,63,88,145,80,145,145,145,145,145,145,62,145,86,32,"-43,996 bbl",145,90,27,"-837,039,000 cu.m",145,42,58,"+131,000 mt",66,11,133,112,45,78,93,87,
2026Brazil Military Strength,11,0.2374,7,13,22,108,5,93,130,2,7,6,6,7,"1,916,000",18,7,10,8,8,8,"3,476,376",23,37,23,6,20,12,145,24,145,48,31,26,32,40,44,145,5,145,11,15,12,44,15,7,124,"+1,058,000 bbl",14,29,83,"-8,984,000,000 cu.m",33,24,99,"-16,667,000 mt",17,17,6,22,16,2,4,9,21
2026Laos Military Strength,125,2.8672,108,123,127,48,80,999,101,27,96,96,99,79,"250,000",56,66,12,97,39,67,"157,063",91,145,145,49,70,145,145,77,145,66,67,46,65,47,,,,,,,,,,145,19,"-25,000 bbl",145,145,1,0 cu.m,145,22,93,"+685,000 mt",69,31,94,117,145,93,81,113,
2026Ukraine Military Strength,20,0.3691,46,50,14,98,46,72,103,48,43,36,42,55,"5,000,000",6,2,15,19,25,39,"387,328",32,24,23,30,37,26,145,30,17,19,22,8,19,18,17,145,145,145,145,145,145,9,14,77,73,"-189,000 bbl",45,31,79,"-4,131,000,000 cu.m",26,21,97,"-5,409,000 mt",8,19,34,40,25,32,31,13,48
