country,active_personnel,aircraft_carriers,aircraft_total,attack_helicopters,available_manpower,defense_budget,destroyers,fighters,foreign_exchange_gold,frigates,mlrs_rocket_artillery,natural_gas_consumption,natural_gas_production,oil_consumption,oil_production,oil_proven_reserves,power_index_rank,power_index_score,purchasing_power_parity,reserve_personnel,self_propelled_artillery,submarines,tanks,total_assets,total_population
Afghanistan,65.0,145.0,108.0,145.0,43.0,136.0,145.0,145.0,84.0,145.0,145.0,10.0,73.0,38.0,145.0,145.0,121.0,2.7342,101.0,145.0,145.0,145.0,145.0,53.0,36.0
Albania,134.0,145.0,97.0,145.0,128.0,107.0,145.0,145.0,91.0,145.0,20.0,7.0,80.0,15.0,64.0,53.0,77.0,1.7258,121.0,145.0,67.0,145.0,145.0,57.0,127.0
Algeria,42.0,145.0,16.0,10.0,29.0,23.0,145.0,20.0,34.0,11.0,28.0,94.0,10.0,94.0,16.0,15.0,27.0,0.4849,40.0,38.0,21.0,12.0,13.0,33.0,33.0
Angola,53.0,145.0,35.0,31.0,67.0,20.0,145.0,29.0,72.0,145.0,34.0,32.0,44.0,61.0,18.0,18.0,59.0,1.1045,63.0,145.0,57.0,145.0,45.0,58.0,40.0
Argentina,52.0,145.0,41.0,145.0,32.0,97.0,9.0,48.0,59.0,145.0,61.0,92.0,17.0,103.0,22.0,30.0,32.0,0.5983,29.0,79.0,60.0,15.0,36.0,52.0,34.0
Armenia,68.0,145.0,75.0,27.0,126.0,86.0,145.0,61.0,109.0,145.0,37.0,43.0,145.0,9.0,145.0,145.0,101.0,2.2016,111.0,32.0,34.0,145.0,74.0,53.0,128.0
Australia,71.0,145.0,31.0,26.0,53.0,10.0,9.0,47.0,42.0,12.0,73.0,96.0,7.0,110.0,30.0,32.0,17.0,0.3208,21.0,63.0,145.0,12.0,87.0,51.0,54.0
Austria,103.0,145.0,70.0,145.0,90.0,50.0,145.0,52.0,56.0,145.0,145.0,62.0,63.0,82.0,62.0,69.0,67.0,1.3759,45.0,42.0,55.0,145.0,82.0,53.0,94.0
Azerbaijan,43.0,145.0,53.0,29.0,80.0,58.0,145.0,54.0,74.0,145.0,9.0,68.0,22.0,55.0,27.0,19.0,60.0,1.1991,72.0,26.0,29.0,13.0,14.0,58.0,83.0
Bahrain,113.0,145.0,58.0,20.0,135.0,96.0,145.0,44.0,102.0,17.0,66.0,73.0,32.0,43.0,34.0,51.0,75.0,1.6731,96.0,44.0,52.0,145.0,67.0,46.0,138.0
Bangladesh,30.0,145.0,44.0,145.0,8.0,63.0,145.0,39.0,64.0,12.0,36.0,82.0,27.0,84.0,65.0,71.0,37.0,0.6517,24.0,145.0,53.0,15.0,44.0,30.0,8.0
Belarus,70.0,145.0,46.0,21.0,82.0,95.0,145.0,38.0,83.0,145.0,25.0,71.0,74.0,63.0,58.0,50.0,70.0,1.4072,65.0,23.0,18.0,145.0,28.0,53.0,91.0
Belgium,98.0,145.0,66.0,145.0,85.0,29.0,145.0,37.0,52.0,17.0,145.0,70.0,87.0,98.0,69.0,145.0,61.0,1.2201,36.0,84.0,145.0,145.0,145.0,74.0,78.0
Beliz,143.0,145.0,109.0,145.0,141.0,141.0,145.0,145.0,137.0,145.0,145.0,1.0,145.0,3.0,79.0,82.0,144.0,4.3602,144.0,93.0,145.0,145.0,145.0,70.0,144.0
Benin,138.0,145.0,106.0,145.0,77.0,137.0,145.0,145.0,134.0,145.0,145.0,13.0,145.0,29.0,145.0,81.0,137.0,3.8963,116.0,145.0,145.0,145.0,145.0,81.0,73.0
Bhutan,119.0,145.0,110.0,145.0,140.0,143.0,145.0,145.0,130.0,145.0,145.0,1.0,145.0,2.0,145.0,145.0,145.0,5.7991,140.0,56.0,145.0,145.0,145.0,53.0,140.0
Bolivia,82.0,145.0,76.0,145.0,78.0,117.0,145.0,145.0,122.0,145.0,145.0,45.0,36.0,51.0,52.0,48.0,82.0,1.8301,88.0,60.0,145.0,145.0,84.0,53.0,76.0
Bosnia and Herzegovina,114.0,145.0,101.0,145.0,110.0,130.0,145.0,145.0,81.0,145.0,63.0,15.0,145.0,25.0,145.0,145.0,133.0,3.1291,110.0,83.0,145.0,145.0,88.0,145.0,122.0
Botswana,126.0,145.0,83.0,145.0,130.0,113.0,145.0,56.0,111.0,145.0,65.0,1.0,145.0,16.0,145.0,145.0,130.0,2.9993,126.0,145.0,66.0,145.0,88.0,53.0,133.0
Brazil,18.0,145.0,23.0,145.0,6.0,22.0,145.0,37.0,13.0,11.0,40.0,83.0,29.0,124.0,7.0,14.0,11.0,0.2374,7.0,7.0,26.0,12.0,48.0,44.0,7.0
Bulgaria,86.0,145.0,74.0,41.0,100.0,73.0,145.0,55.0,51.0,13.0,63.0,42.0,84.0,52.0,76.0,75.0,62.0,1.2522,73.0,89.0,47.0,145.0,41.0,51.0,99.0
Burkina Faso,133.0,145.0,92.0,40.0,61.0,60.0,145.0,145.0,145.0,145.0,72.0,1.0,145.0,27.0,145.0,145.0,127.0,2.9213,112.0,145.0,145.0,145.0,145.0,53.0,59.0
Cambodia,44.0,145.0,94.0,145.0,63.0,106.0,145.0,145.0,61.0,145.0,14.0,1.0,145.0,44.0,145.0,145.0,83.0,1.8434,87.0,145.0,55.0,145.0,29.0,65.0,72.0
Cameroon,83.0,145.0,90.0,145.0,56.0,103.0,145.0,145.0,103.0,145.0,65.0,28.0,52.0,30.0,50.0,49.0,99.0,2.1689,84.0,145.0,62.0,145.0,145.0,66.0,51.0
Canada,69.0,145.0,30.0,145.0,40.0,13.0,145.0,30.0,26.0,7.0,145.0,108.0,5.0,120.0,4.0,4.0,28.0,0.5269,16.0,72.0,145.0,13.0,78.0,45.0,37.0
Central African Republic,95.0,145.0,105.0,145.0,116.0,129.0,145.0,145.0,140.0,145.0,145.0,1.0,145.0,1.0,145.0,145.0,143.0,4.2381,143.0,145.0,145.0,145.0,145.0,53.0,109.0
Chad,84.0,145.0,86.0,42.0,70.0,108.0,145.0,145.0,129.0,145.0,68.0,1.0,145.0,9.0,39.0,35.0,85.0,1.8594,119.0,145.0,67.0,145.0,75.0,53.0,64.0
Chile,62.0,145.0,36.0,145.0,60.0,46.0,145.0,36.0,49.0,11.0,72.0,58.0,60.0,92.0,68.0,53.0,49.0,0.8704,43.0,58.0,47.0,13.0,34.0,25.0,66.0
China,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,110.0,4.0,128.0,5.0,13.0,3.0,0.0919,1.0,17.0,2.0,2.0,1.0,1.0,1.0
Colombia,14.0,145.0,27.0,145.0,28.0,28.0,145.0,51.0,41.0,10.0,145.0,66.0,39.0,90.0,24.0,33.0,43.0,0.7551,32.0,9.0,68.0,13.0,145.0,13.0,30.0
Croatia,123.0,145.0,76.0,145.0,119.0,70.0,145.0,54.0,114.0,145.0,55.0,39.0,61.0,41.0,69.0,64.0,73.0,1.5432,78.0,74.0,57.0,145.0,83.0,59.0,120.0
Cuba,75.0,145.0,97.0,41.0,75.0,64.0,145.0,145.0,77.0,18.0,27.0,25.0,62.0,60.0,57.0,57.0,65.0,1.3345,102.0,59.0,28.0,145.0,61.0,66.0,80.0
Czechia,93.0,145.0,67.0,41.0,81.0,37.0,145.0,54.0,24.0,145.0,68.0,60.0,69.0,79.0,76.0,75.0,55.0,1.0313,49.0,86.0,43.0,145.0,94.0,53.0,81.0
Democratic Republic of the Congo,35.0,145.0,78.0,36.0,18.0,98.0,145.0,145.0,105.0,145.0,41.0,3.0,93.0,26.0,61.0,52.0,64.0,1.3051,80.0,65.0,64.0,145.0,57.0,69.0,14.0
Denmark,111.0,145.0,63.0,145.0,107.0,30.0,145.0,45.0,28.0,10.0,73.0,35.0,55.0,67.0,51.0,43.0,45.0,0.8198,52.0,80.0,61.0,145.0,89.0,49.0,107.0
Dominican Republic,61.0,145.0,72.0,145.0,83.0,101.0,145.0,145.0,73.0,145.0,145.0,38.0,145.0,66.0,145.0,145.0,115.0,2.5853,64.0,36.0,145.0,145.0,99.0,56.0,82.0
Ecuador,80.0,145.0,68.0,145.0,62.0,65.0,145.0,145.0,89.0,17.0,63.0,18.0,68.0,87.0,29.0,16.0,72.0,1.4479,67.0,43.0,69.0,15.0,59.0,59.0,67.0
Egypt,13.0,145.0,9.0,7.0,16.0,56.0,145.0,10.0,48.0,6.0,11.0,100.0,13.0,104.0,26.0,26.0,19.0,0.3651,18.0,18.0,6.0,11.0,6.0,23.0,15.0
El Salvador,104.0,145.0,79.0,145.0,101.0,94.0,145.0,145.0,108.0,145.0,145.0,2.0,145.0,37.0,87.0,145.0,129.0,2.9973,104.0,145.0,145.0,145.0,145.0,71.0,102.0
Eritrea,20.0,145.0,97.0,39.0,113.0,132.0,145.0,63.0,143.0,145.0,53.0,1.0,145.0,3.0,145.0,145.0,119.0,2.6841,145.0,13.0,50.0,145.0,68.0,63.0,103.0
Estonia,131.0,145.0,110.0,145.0,139.0,75.0,145.0,145.0,120.0,145.0,74.0,19.0,145.0,20.0,60.0,145.0,106.0,2.3201,115.0,30.0,47.0,145.0,145.0,75.0,139.0
Ethiopia,9.0,145.0,66.0,38.0,11.0,62.0,145.0,46.0,107.0,145.0,42.0,1.0,145.0,53.0,145.0,86.0,47.0,0.8525,55.0,39.0,27.0,145.0,40.0,53.0,12.0
Finland,105.0,145.0,51.0,145.0,111.0,40.0,145.0,33.0,68.0,145.0,43.0,30.0,145.0,71.0,72.0,145.0,48.0,0.8673,60.0,10.0,33.0,145.0,60.0,19.0,110.0
