country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km,assets_per_capita,budget_to_gdp_ratio,rank,power_index_rank_gap,strength_category
Afghanistan,75000,0,3902,0,0,5987,503000,767000,0,0,0,145000000,0,1929750000,0,8826741,8852092000,0,0,9133000,0,0,80200000,80200000,58000,0,90000,842553,66000000,49554000000,0,82238000000,0,0,34903,0,0,0,0,0,0,652230,0,5,3,15647405,0,0,40121552,68,0,0,2,1200,3.20E-07,0.00176317517449354,136,135,Low
Albania,7500,0,1492,0,0,691,255000,473000,33,362,0,720037190,0,5363000000,0,1292554,6516000000,0,0,1370000,3,0,50623000,50623000,21000,14000,500,62142,522000000,5692000000,150000000,51360000000,424,0,3581,270,10,0,0,0,0,28748,69,20,19,1522479,33,0,3107100,3,0,0,1,41,3.48E-05,0.0140194156931464,107,106,Low
Algeria,130000,0,24920,42,74,6734,3000,0,75,998,8,25000000000,0,4764000000,111,19185169,83007000000,8,0,13294000,17,3,47963000000,100726000000,446000,1443000,150000,752360,233000000,4504000000000,12200000000,722912000000,4020,150000,112696,188,224,10,6,4,1485,2381740,119,620,300,22570787,111,83480,47022473,95,483,90,63,0,9.82E-05,0.0345823558054092,23,22,Low
Angola,107000,0,2258,6,14,5369,0,0,32,1600,0,31200000000,0,45299000000,67,3720206,14243000000,0,0,15961000,21,0,1397000000,5514000000,121000,1175000,10000,372021,0,343002000000,7783000000,278239000000,2761,0,76000,116,25,2,0,0,319,1246700,64,278,115,7440412,32,0,37202061,107,575,56,32,1300,8.45E-05,0.112133813016866,20,19,Low
Argentina,108000,0,22432,11,0,11968,2534000,869000,13,4989,6,993919790,3,74362000000,23,17575900,29560000000,0,0,22286000,37,0,46228000000,43280000000,749000,807000,20000,704916,799999000,396464000000,2483000000,1213000000000,17866,12370,240000,27,20,13,2,2,362,2780400,201,241,96,20677529,42,122128,46994384,764,172,71,25,11000,3.12E-05,0.000819389769167353,97,96,Low
Armenia,65000,0,1412,14,20,1570,19000,300,0,0,0,1480000000,0,6002000000,4,1366335,3685000000,0,0,1510000,0,0,2861000000,0,15000,0,5000,44651,317000000,0,0,60909000000,686,210000,7700,100,104,0,0,0,109,29743,0,69,36,1666988,0,0,2976765,11,193,12,3,0,0.000106779412929187,0.0242985437291697,86,85,Low
Australia,58910,0,17118,71,22,0,95667000,445077000,13,25760,0,57350000000,3,3770254730000,24,9208398,60404000000,7,2,14912000,66,3,50188000000,153783000000,1151000,386000,0,294455,149472000000,3228000000000,2446000000,1635000000000,32606,33270,873573,8,0,31,6,6,46,7741220,604,348,72,11242811,45,199898,26768598,2257,48,107,37,2000,3.90E-05,0.0350764525993883,10,9,Low
Austria,25000,0,5160,0,0,2524,5403000,1288000,0,0,0,6103900800,0,693000000000,15,3632033,35406000000,0,0,4768000,0,0,8136000000,618209000,244000,18000,0,98648,0,5040000000,35200000,581131000000,6123,125600,126233,0,30,0,0,0,56,83871,1,90,41,4035592,0,0,8967982,62,0,23,11,358,3.62E-05,0.0105034851006055,50,49,Low
Azerbaijan,128000,0,14448,20,16,2468,6000,0,17,713,0,5100000000,0,12378000000,12,3908638,12699000000,0,0,5020000,0,4,11759000000,34175000000,109000,618000,15000,159754,0,1699000000000,7000000000,225198000000,2944,306000,24981,696,135,0,4,0,1354,86600,312,159,87,5218617,32,0,10650239,32,651,36,4,0,0.000296055449173602,0.0226467375376335,57.5,56.5,Medium
Bahrain,18400,0,5196,0,34,0,0,0,50,161,2,997015509,0,54450000000,28,720768,4949000000,2,0,913300,4,0,17924000000,18005000000,72000,190000,1500,17236,0,81382000000,186500000,93937000000,0,110000,4122,18,38,0,0,0,150,760,184,137,66,846120,64,0,1566888,3,26,40,3,0,0.00041483477520919,0.0106136613794351,96,95,Medium
