country,power_index_rank,total_military_manpower,total_military_aircraft,tanks,total_naval_fleet,defense_budget_usd,purchasing_power_parity_usd,assets_per_capita,budget_to_gdp_ratio,power_index_rank_gap,region,alliance_flag
Afghanistan,121,15647405.0,5.0,0.0,0.0,145000000.0,82238000000.0,3.195418026183894e-07,0.0017631751744935432,120,Asia,Non-NATO
Albania,77,1522479.0,20.0,0.0,33.0,720037190.0,51360000000.0,3.481164600628317e-05,0.014019415693146417,76,Europe,NATO
Algeria,27,22570787.0,620.0,1485.0,111.0,25000000000.0,722912000000.0,9.818000586333122e-05,0.034582355805409234,26,Africa,Non-NATO
Angola,59,7440412.0,278.0,319.0,32.0,31200000000.0,278239000000.0,8.453832932907479e-05,0.1121338130168668,58,Africa,Non-NATO
Argentina,32,20677529.0,241.0,362.0,42.0,993919790.0,1213000000000.0,3.119328233078527e-05,0.0008193897691673536,31,South America,Non-NATO
Armenia,101,1666988.0,69.0,109.0,0.0,1480000000.0,60909000000.0,0.00010677941292918725,0.024298543729169744,100,Asia,Non-NATO
Australia,17,11242811.0,348.0,46.0,45.0,57350000000.0,1635000000000.0,3.9047174234272904e-05,0.03507645259938838,16,Oceania,Non-NATO
Austria,67,4035592.0,90.0,56.0,0.0,6103900800.0,581131000000.0,3.6178087378506054e-05,0.010503485100605543,66,Europe,Non-NATO
Azerbaijan,60,5218617.0,159.0,1354.0,32.0,5100000000.0,225198000000.0,0.0002960554491736029,0.02264673753763355,59,Asia,Non-NATO
Bahrain,75,846120.0,137.0,150.0,64.0,997015509.0,93937000000.0,0.0004148347752091902,0.010613661379435153,74,Asia,Non-NATO
Bangladesh,37,82661620.0,212.0,320.0,121.0,3340000000.0,1473000000000.0,7.899675810853937e-06,0.0022674813306177866,36,Asia,Non-NATO
Belarus,70,5035769.0,194.0,577.0,0.0,1034784000.0,265220000000.0,0.00015310471945794178,0.0039016062137093733,69,Europe,Non-NATO
Belgium,61,4910830.0,104.0,0.0,9.0,14900000000.0,749229000000.0,2.3010366882991267e-05,0.019887110616380304,60,Europe,NATO
Beliz,144,158000.0,3.0,0.0,15.0,34400000.0,5538000000.0,0.00011392405063291139,0.006211628746840015,143,Unknown,Non-NATO
Benin,138,5584880.0,7.0,0.0,2.0,137690000.0,56424000000.0,1.6114938906476056e-06,0.0024402736424216647,137,Africa,Non-NATO
Bhutan,145,203446.0,2.0,0.0,0.0,26600000.0,11517000000.0,9.830618444206325e-06,0.002309629243726665,144,Asia,Non-NATO
Bolivia,82,5417269.0,67.0,54.0,67.0,467670000.0,122200000000.0,3.470383324143586e-05,0.00382708674304419,81,South America,Non-NATO
Bosnia and Herzegovina,133,2355176.0,15.0,45.0,0.0,289920000.0,64641000000.0,2.5475803082232495e-05,0.004485079129345152,132,Europe,Non-NATO
Botswana,130,1029281.0,45.0,45.0,0.0,581000000.0,45553000000.0,8.743967876605125e-05,0.012754374025859987,129,Africa,Non-NATO
Brazil,11,112226271.0,495.0,294.0,69.0,26400000000.0,4165000000000.0,7.645268726785015e-06,0.006338535414165666,10,South America,Non-NATO
Bulgaria,62,3187850.0,71.0,334.0,45.0,2485350000.0,219645000000.0,0.00014116097056009536,0.011315304240934234,61,Europe,NATO
Burkina Faso,127,8525614.0,26.0,0.0,0.0,4590000000.0,60001000000.0,3.0496337272599955e-06,0.07649872502124964,126,Africa,Non-NATO
Cambodia,83,8190561.0,24.0,520.0,20.0,750000000.0,123676000000.0,6.885975209756695e-05,0.006064232349041043,82,Asia,Non-NATO
Cameroon,99,10528476.0,35.0,0.0,19.0,835694942.0,143264000000.0,5.128947437406895e-06,0.005833251493745812,98,Africa,Non-NATO
Canada,28,16681770.0,354.0,74.0,67.0,45824959620.0,2341000000000.0,2.967311022751183e-05,0.019574950713370353,27,North America,NATO
Central African Republic,143,2203873.0,8.0,0.0,0.0,300000000.0,5926000000.0,3.62997323348487e-06,0.05062436719541006,142,Africa,Non-NATO
Chad,85,6873694.0,40.0,90.0,0.0,706800000.0,52895000000.0,1.8912683631246896e-05,0.01336232158048965,84,Africa,Non-NATO
Chile,49,8959033.0,274.0,386.0,130.0,6800000000.0,596556000000.0,8.817915951420203e-05,0.011398762228525067,48,South America,Non-NATO
China,3,764123366.0,3529.0,5870.0,841.0,303000000000.0,33598000000000.0,1.3400977454208617e-05,0.009018393952020953,2,Asia,Non-NATO
Colombia,43,24298295.0,430.0,0.0,213.0,15800000000.0,978024000000.0,2.6462762099151403e-05,0.01615502278062706,42,South America,Non-NATO
Croatia,73,2033557.0,67.0,55.0,30.0,2744000000.0,164825000000.0,7.474587631426116e-05,0.016647959957530715,72,Europe,NATO
Cuba,65,5921661.0,20.0,194.0,19.0,3301500000.0,81165000000.0,3.9347068330996997e-05,0.04067639992607651,64,North America,Non-NATO
Czechia,55,5093808.0,103.0,20.0,0.0,9174000000.0,521928000000.0,2.4146964314320445e-05,0.01757713707637835,54,Europe,Non-NATO
Democratic Republic of the Congo,64,39237029.0,56.0,212.0,16.0,960000000.0,164367000000.0,7.23806076143023e-06,0.005840588439285258,63,Unknown,Non-NATO
Denmark,45,2628180.0,122.0,44.0,50.0,14250000000.0,440558000000.0,8.218615163344976e-05,0.03234534385937833,44,Europe,NATO
Dominican Republic,115,4975294.0,80.0,6.0,34.0,903000000.0,276884000000.0,2.4119177680756153e-05,0.0032612935380881523,114,North America,Non-NATO
Ecuador,72,8422593.0,99.0,202.0,30.0,2963400000.0,252728000000.0,3.929906146480069e-05,0.011725649710360546,71,South America,Non-NATO
Egypt,19,45611372.0,1088.0,3620.0,149.0,5193500000.0,1958000000000.0,0.00010648660163083891,0.0026524514811031665,18,Africa,Non-NATO
El Salvador,129,3181777.0,51.0,0.0,13.0,1037200000.0,73961000000.0,2.0114546053981784e-05,0.014023607036140669,128,North America,Non-NATO
Eritrea,119,2220385.0,20.0,148.0,23.0,219000000.0,2534000000.0,8.602111795927282e-05,0.08642462509865825,118,Africa,Non-NATO
Estonia,106,584958.0,2.0,0.0,8.0,2375000000.0,57001000000.0,1.7095244444900317e-05,0.041665935685338856,105,Europe,NATO
Ethiopia,47,56904143.0,104.0,338.0,0.0,3720968976.0,380895000000.0,7.767448496676243e-06,0.00976901501988737,46,Africa,Non-NATO
Finland,48,2306830.0,162.0,200.0,165.0,8890000000.0,313591000000.0,0.00022845203157579883,0.028349027873886688,47,Europe,NATO
France,6,30084820.0,974.0,427.0,166.0,67232395000.0,3732000000000.0,5.2086068655222135e-05,0.018015111200428726,5,Europe,NATO
Gabon,132,932940.0,25.0,0.0,5.0,340950000.0,48045000000.0,3.2156408772268315e-05,0.0070964720574461446,131,Africa,Non-NATO
Georgia,95,2744538.0,61.0,132.0,19.0,680000000.0,91849000000.0,7.724433037545846e-05,0.007403455671809165,94,Asia,Non-NATO
Germany,12,38694786.0,569.0,296.0,96.0,127400090000.0,5247000000000.0,2.4835387382682513e-05,0.024280558414332,11,Europe,NATO
Ghana,112,14873310.0,18.0,0.0,20.0,954423756.0,243124000000.0,2.5549121211082132e-06,0.003925666556983268,111,Africa,Non-NATO
Greece,30,4916713.0,560.0,1344.0,186.0,8242150000.0,192205000000.0,0.00042508073991709503,0.04288207903020213,29,Europe,NATO
Guatemala,96,7484639.0,35.0,0.0,25.0,616000000.0,232673000000.0,8.016418694341837e-06,0.0026474924035019103,95,North America,Non-NATO
