country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Afghanistan,75000.0,0.0,3902.0,0.0,0.0,5987.0,503000.0,767000.0,0.0,0.0,0.0,145000000.0,0.0,1929750000.0,0.0,8826741.0,8852092000.0,0.0,0.0,9133000.0,0.0,0.0,80200000.0,80200000.0,58000.0,0.0,90000.0,842553.0,66000000.0,49554000000.0,0.0,82238000000.0,0.0,0.0,34903.0,0.0,0.0,0.0,0.0,0.0,0.0,652230.0,0.0,5.0,3.0,15647405.0,0.0,0.0,40121552.0,68.0,0.0,0.0,2.0,1200.0
Albania,7500.0,0.0,1492.0,0.0,0.0,691.0,255000.0,473000.0,33.0,362.0,0.0,720037190.0,0.0,5363000000.0,0.0,1292554.0,6516000000.0,0.0,0.0,1370000.0,3.0,0.0,50623000.0,50623000.0,21000.0,14000.0,500.0,62142.0,522000000.0,5692000000.0,150000000.0,51360000000.0,424.0,0.0,3581.0,270.0,10.0,0.0,0.0,0.0,0.0,28748.0,69.0,20.0,19.0,1522479.0,33.0,0.0,3107100.0,3.0,0.0,0.0,1.0,41.0
Algeria,130000.0,0.0,24920.0,42.0,74.0,6734.0,3000.0,0.0,75.0,998.0,8.0,25000000000.0,0.0,4764000000.0,111.0,19185169.0,83007000000.0,8.0,0.0,13294000.0,17.0,3.0,47963000000.0,100726000000.0,446000.0,1443000.0,150000.0,752360.0,233000000.0,4504000000000.0,12200000000.0,722912000000.0,4020.0,150000.0,112696.0,188.0,224.0,10.0,6.0,4.0,1485.0,2381740.0,119.0,620.0,300.0,22570787.0,111.0,83480.0,47022473.0,95.0,483.0,90.0,63.0,0.0
Angola,107000.0,0.0,2258.0,6.0,14.0,5369.0,0.0,0.0,32.0,1600.0,0.0,31200000000.0,0.0,45299000000.0,67.0,3720206.0,14243000000.0,0.0,0.0,15961000.0,21.0,0.0,1397000000.0,5514000000.0,121000.0,1175000.0,10000.0,372021.0,0.0,343002000000.0,7783000000.0,278239000000.0,2761.0,0.0,76000.0,116.0,25.0,2.0,0.0,0.0,319.0,1246700.0,64.0,278.0,115.0,7440412.0,32.0,0.0,37202061.0,107.0,575.0,56.0,32.0,1300.0
Argentina,108000.0,0.0,22432.0,11.0,0.0,11968.0,2534000.0,869000.0,13.0,4989.0,6.0,993919790.0,3.0,74362000000.0,23.0,17575900.0,29560000000.0,0.0,0.0,22286000.0,37.0,0.0,46228000000.0,43280000000.0,749000.0,807000.0,20000.0,704916.0,799999000.0,396464000000.0,2483000000.0,1213000000000.0,17866.0,12370.0,240000.0,27.0,20.0,13.0,2.0,2.0,362.0,2780400.0,201.0,241.0,96.0,20677529.0,42.0,122128.0,46994384.0,764.0,172.0,71.0,25.0,11000.0
Armenia,65000.0,0.0,1412.0,14.0,20.0,1570.0,19000.0,300.0,0.0,0.0,0.0,1480000000.0,0.0,6002000000.0,4.0,1366335.0,3685000000.0,0.0,0.0,1510000.0,0.0,0.0,2861000000.0,0.0,15000.0,0.0,5000.0,44651.0,317000000.0,0.0,0.0,60909000000.0,686.0,210000.0,7700.0,100.0,104.0,0.0,0.0,0.0,109.0,29743.0,0.0,69.0,36.0,1666988.0,0.0,0.0,2976765.0,11.0,193.0,12.0,3.0,0.0
Australia,58910.0,0.0,17118.0,71.0,22.0,0.0,95667000.0,445077000.0,13.0,25760.0,0.0,57350000000.0,3.0,3770254730000.0,24.0,9208398.0,60404000000.0,7.0,2.0,14912000.0,66.0,3.0,50188000000.0,153783000000.0,1151000.0,386000.0,0.0,294455.0,149472000000.0,3228000000000.0,2446000000.0,1635000000000.0,32606.0,33270.0,873573.0,8.0,0.0,31.0,6.0,6.0,46.0,7741220.0,604.0,348.0,72.0,11242811.0,45.0,199898.0,26768598.0,2257.0,48.0,107.0,37.0,2000.0
Austria,25000.0,0.0,5160.0,0.0,0.0,2524.0,5403000.0,1288000.0,0.0,0.0,0.0,6103900800.0,0.0,693000000000.0,15.0,3632033.0,35406000000.0,0.0,0.0,4768000.0,0.0,0.0,8136000000.0,618209000.0,244000.0,18000.0,0.0,98648.0,0.0,5040000000.0,35200000.0,581131000000.0,6123.0,125600.0,126233.0,0.0,30.0,0.0,0.0,0.0,56.0,83871.0,1.0,90.0,41.0,4035592.0,0.0,0.0,8967982.0,62.0,0.0,23.0,11.0,358.0
Azerbaijan,128000.0,0.0,14448.0,20.0,16.0,2468.0,6000.0,0.0,17.0,713.0,0.0,5100000000.0,0.0,12378000000.0,12.0,3908638.0,12699000000.0,0.0,0.0,5020000.0,0.0,4.0,11759000000.0,34175000000.0,109000.0,618000.0,15000.0,159754.0,0.0,1699000000000.0,7000000000.0,225198000000.0,2944.0,306000.0,24981.0,696.0,135.0,0.0,4.0,0.0,1354.0,86600.0,312.0,159.0,87.0,5218617.0,32.0,0.0,10650239.0,32.0,651.0,36.0,4.0,0.0
Bahrain,18400.0,0.0,5196.0,0.0,34.0,0.0,0.0,0.0,50.0,161.0,2.0,997015509.0,0.0,54450000000.0,28.0,720768.0,4949000000.0,2.0,0.0,913300.0,4.0,0.0,17924000000.0,18005000000.0,72000.0,190000.0,1500.0,17236.0,0.0,81382000000.0,186500000.0,93937000000.0,0.0,110000.0,4122.0,18.0,38.0,0.0,0.0,0.0,150.0,760.0,184.0,137.0,66.0,846120.0,64.0,0.0,1566888.0,3.0,26.0,40.0,3.0,0.0
Bangladesh,204000.0,0.0,11584.0,0.0,0.0,4413.0,14050000.0,767000.0,61.0,580.0,6.0,3340000000.0,0.0,58020000000.0,41.0,66129296.0,21395000000.0,7.0,0.0,77355000.0,2.0,5.0,30384000000.0,24620000000.0,263000.0,13000.0,6800000.0,3205246.0,3260000000.0,126293000000.0,28000000.0,1473000000000.0,2460.0,0.0,369105.0,103.0,36.0,4.0,2.0,0.0,320.0,148460.0,558.0,212.0,67.0,82661620.0,121.0,75280.0,168697184.0,17.0,487.0,83.0,17.0,8370.0
Belarus,63000.0,0.0,6820.0,50.0,31.0,3599.0,710000.0,0.0,0.0,0.0,0.0,1034784000.0,0.0,18010000000.0,43.0,3724569.0,8912000000.0,0.0,0.0,4817000.0,0.0,0.0,16683000000.0,73929000.0,125000.0,30000.0,55000.0,104516.0,0.0,2832000000.0,198000000.0,265220000000.0,5528.0,365400.0,86600.0,206.0,357.0,0.0,0.0,0.0,577.0,207600.0,4.0,194.0,70.0,5035769.0,0.0,0.0,9501451.0,46.0,190.0,27.0,4.0,2500.0
Belgium,26390.0,0.0,3588.0,12.0,0.0,1297.0,4372000.0,1269000.0,2.0,67.0,0.0,14900000000.0,0.0,1594190730000.0,44.0,3880753.0,41449000000.0,2.0,0.0,5416000.0,7.0,5.0,15347000000.0,13436000.0,596000.0,11000.0,0.0,119776.0,4100000000.0,0.0,0.0,749229000000.0,3602.0,6600.0,118414.0,0.0,0.0,0.0,0.0,0.0,0.0,30528.0,198.0,104.0,14.0,4910830.0,9.0,10190.0,11977634.0,48.0,0.0,27.0,7.0,2043.0
Beliz,2000.0,0.0,164.0,0.0,0.0,542.0,0.0,0.0,15.0,386.0,0.0,34400000.0,0.0,1235000000.0,0.0,90226.0,498087000.0,0.0,0.0,190000.0,2.0,0.0,0.0,0.0,5000.0,800.0,0.0,8732.0,0.0,0.0,6700000.0,5538000000.0,0.0,850.0,3281.0,0.0,0.0,1.0,0.0,0.0,0.0,22966.0,774.0,3.0,1.0,158000.0,15.0,0.0,415789.0,27.0,0.0,0.0,1.0,825.0
Benin,4750.0,0.0,92.0,0.0,0.0,2123.0,164000.0,0.0,2.0,121.0,0.0,137690000.0,0.0,6309000000.0,0.0,3189260.0,698900000.0,0.0,0.0,6397000.0,1.0,0.0,182131000.0,0.0,40000.0,0.0,0.0,308638.0,0.0,1133000000.0,8000000.0,56424000000.0,438.0,0.0,16000.0,0.0,0.0,1.0,0.0,0.0,0.0,112622.0,6.0,7.0,5.0,5584880.0,2.0,0.0,14697052.0,10.0,16.0,0.0,1.0,150.0
Bhutan,16000.0,0.0,78.0,0.0,0.0,1136.0,105000.0,4000.0,0.0,0.0,0.0,26600000.0,0.0,2827000000.0,0.0,122067.0,941018000.0,0.0,0.0,406500.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,4423.0,0.0,0.0,0.0,11517000000.0,0.0,50000.0,12205.0,0.0,0.0,0.0,0.0,0.0,0.0,38394.0,0.0,2.0,2.0,203446.0,0.0,0.0,884546.0,4.0,0.0,0.0,0.0,0.0
Bolivia,40000.0,0.0,764.0,0.0,0.0,7252.0,9000.0,0.0,50.0,0.0,0.0,467670000.0,0.0,11174000000.0,0.0,4112199.0,1977000000.0,0.0,0.0,6859000.0,0.0,0.0,3055000000.0,13760000000.0,100000.0,58000.0,0.0,233928.0,1000000.0,302990000000.0,240900000.0,122200000000.0,3690.0,40000.0,90568.0,0.0,0.0,2.0,0.0,0.0,54.0,1098581.0,50.0,67.0,29.0,5417269.0,67.0,0.0,12311974.0,201.0,58.0,20.0,15.0,10000.0
Bosnia and Herzegovina,18000.0,0.0,892.0,0.0,0.0,1543.0,12304000.0,12311000.0,0.0,20.0,0.0,289920000.0,0.0,5359000000.0,0.0,1956316.0,9419000000.0,0.0,0.0,1356000.0,1.0,0.0,225824000.0,0.0,34000.0,0.0,0.0,49383.0,2264000000.0,0.0,0.0,64641000000.0,965.0,8000.0,8619.0,24.0,0.0,0.0,0.0,0.0,45.0,51197.0,0.0,15.0,15.0,2355176.0,0.0,0.0,3798671.0,20.0,300.0,0.0,0.0,990.0
Botswana,12000.0,0.0,1224.0,0.0,0.0,4347.0,1351000.0,2242000.0,0.0,0.0,0.0,581000000.0,0.0,1761000000.0,10.0,617568.0,3456000000.0,0.0,0.0,1173000.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,24507.0,1660000000.0,0.0,0.0,45553000000.0,888.0,0.0,31747.0,20.0,12.0,0.0,0.0,0.0,45.0,581730.0,0.0,45.0,16.0,1029281.0,0.0,0.0,2450668.0,122.0,36.0,10.0,9.0,0.0
Brazil,376000.0,0.0,22464.0,30.0,0.0,16145.0,32223000.0,15556000.0,22.0,7491.0,2.0,26400000000.0,0.0,198582000000.0,44.0,88680759.0,329732000000.0,8.0,1.0,106790000.0,45.0,4.0,31654000000.0,22670000000.0,3163000.0,4221000.0,200000.0,3520824.0,6596000000.0,363985000000.0,12715000000.0,4165000000000.0,29850.0,1340000.0,2000000.0,82.0,149.0,25.0,6.0,0.0,294.0,8515770.0,888.0,495.0,186.0,112226271.0,69.0,166419.0,220051512.0,5297.0,412.0,124.0,107.0,50000.0
