country,purchasing_power_parity,foreign_exchangegold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_usable,total_population,available_manpower,fitforservice,reaching_mil_age_annually,active_personnel,reserve_personnel,paramilitary,air_force_personnel,army_personnel,navy_personnel,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_fixedwing,trainers,specialmission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,selfpropelled_artillery,towed_artillery,mlrs_rocket_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,natgas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports__trade_terminals,airports,roadway_coverage,railway_coverage,pwr_index
United States,"$25,676,000,000,000 USD","$910,037,000,000 USD","$831,500,000,000 USD","$24,538,900,710,000 USD","9,833,517 km","19,924 km","12,002 km","41,009 km","341,963,408","150,463,900","124,816,644","4,445,524","1,333,030","799,500",0,"708,758","1,174,890","612,124","4,389,402","Stock: 13,032			
Readiness: 9,774*","Stock: 1,791 (13.7%)

Readiness: 1,343*","Stock: 926 (7.1%)

Readiness: 695*","Stock: 917 (7.0%)

Readiness: 688*","Stock: 2,610 (20.0%)

Readiness: 1,958*","Stock: 611 (4.7%)

Readiness: 458*","Stock: 610 (4.7%)

Readiness: 458*","Stock: 5,913 (45.4%)

Readiness: 4,435*","Stock: 1,024 (7.9%)

Readiness: 768*","Stock: 4,666				
Readiness: 3,500*","Stock: 409,660            	
Readiness: 307,245*","Stock: 1,521				
Readiness: 1,141*","Stock: 1,878				
Readiness: 1,409*","Stock: 1,731				
Readiness: 1,298*",11.0,9.0,83.0,0.0,27.0,66.0,0.0,4.0,"20,953,000 bbl","20,307,000 bbl","+646,000 bbl","38,212,000,000 bbl","1,029,000,000,000 cu.m","914,301,000,000 cu.m","+114,699,000,000 cu.m","13,402,000,000,000 cu.m","534,234,000 mt","495,156,000 mt","+39,078,000 mt","247,883,000,000 mt",93.0%,"174,174,000","3,533",666,"16,116","6,586,610 km","293,564 km",0.0741
Russia,"$6,089,000,000,000 USD","$597,217,000,000 USD","$212,638,272,000 USD","$226,475,750,000 USD","17,098,242 km","37,653 km","22,407 km","102,000 km","140,820,810","69,002,197","46,189,226","1,267,387","1,320,000","2,000,000","250,000","203,376","600,000","160,000","1,251,387","Stock: 4,237			
Readiness: 2,754*","Stock: 861 (20.3%)

Readiness: 560*","Stock: 698 (16.5%)

Readiness: 454*","Stock: 458 (10.8%)

Readiness: 298*","Stock: 530 (12.5%)

Readiness: 345*","Stock: 137 (3.2%)

Readiness: 89*","Stock: 18 (0.4%)

Readiness: 12*","Stock: 1,643 (38.8%)

Readiness: 1,068*","Stock: 556 (13.1%)

Readiness: 361*","Stock: 5,630				
Readiness: 3,941*","Stock: 126,512            	
Readiness: 88,558*","Stock: 3,603				
Readiness: 2,522*","Stock: 5,920				
Readiness: 4,144*","Stock: 2,486				
Readiness: 1,740*",1.0,0.0,13.0,12.0,79.0,66.0,70.0,45.0,"10,879,000 bbl","3,863,000 bbl","+7,016,000 bbl","80,000,000,000 bbl","617,830,000,000 cu.m","472,239,000,000 cu.m","+145,591,000,000 cu.m","47,805,000,000,000 cu.m","531,130,000 mt","290,763,000 mt","+240,367,000 mt","162,166,000,000 mt",92.0%,"72,517,000","2,910",67,905,"1,283,387 km","85,494 km",0.0791
China,"$33,598,000,000,000 USD","$3,456,000,000,000 USD","$303,000,000,000 USD","$488,114,000,000 USD","9,596,960 km","14,500 km","22,457 km","27,700 km","1,415,043,270","764,123,366","626,864,169","19,810,606","2,035,000","510,000","625,000","403,000","2,545,000","384,000","19,560,509","Stock: 3,529			
Readiness: 2,647*","Stock: 1,443 (40.9%)

Readiness: 1,082*","Stock: 371 (10.5%)

Readiness: 278*","Stock: 287 (8.1%)

Readiness: 215*","Stock: 401 (11.4%)

Readiness: 301*","Stock: 105 (3.0%)

Readiness: 79*","Stock: 9 (0.3%)

Readiness: 7*","Stock: 1,007 (28.5%)

Readiness: 755*","Stock: 281 (8.0%)

Readiness: 211*","Stock: 5,870				
Readiness: 4,696*","Stock: 152,040            	
Readiness: 121,632*","Stock: 2,940				
Readiness: 2,352*","Stock: 1,400				
Readiness: 1,120*","Stock: 2,770				
Readiness: 2,216*",3.0,4.0,53.0,46.0,50.0,61.0,150.0,36.0,"4,984,000 bbl","16,189,000 bbl","-11,205,000 bbl","26,023,000,000 bbl","225,341,000,000 cu.m","366,160,000,000 cu.m","-140,819,000,000 cu.m","6,654,000,000,000 cu.m","4,805,000,000 mt","5,191,000,000 mt","-386,000,000 mt","157,041,000,000 mt",78.0%,"773,880,000","8,314",66,552,"5,200,000 km","150,000 km",0.0919
India,"$14,244,000,000,000 USD","$643,043,000,000 USD","$109,000,000,000 USD","$212,728,000,000 USD","3,287,263 km","7,000 km","13,888 km","14,500 km","1,409,128,296","662,290,299","522,786,598","23,955,181","1,431,000","1,000,000","2,527,000","289,000","2,148,000","148,869","23,652,761","Stock: 2,183			
Readiness: 1,637*","Stock: 476 (21.8%)

Readiness: 357*","Stock: 124 (5.7%)

Readiness: 93*","Stock: 277 (12.7%)

Readiness: 208*","Stock: 334 (15.3%)

Readiness: 251*","Stock: 72 (3.3%)

Readiness: 54*","Stock: 6 (0.3%)

Readiness: 5*","Stock: 594 (27.2%)

Readiness: 446*","Stock: 79 (3.6%)

Readiness: 59*","Stock: 3,913				
Readiness: 2,935*","Stock: 163,554            	
Readiness: 122,666*","Stock: 100				
Readiness: 75*","Stock: 5,640				
Readiness: 4,230*","Stock: 300				
Readiness: 225*",2.0,0.0,13.0,18.0,21.0,18.0,146.0,0.0,"822,000 bbl","5,271,000 bbl","-4,449,000 bbl","4,605,000,000 bbl","33,170,000,000 cu.m","58,867,000,000 cu.m","-25,697,000,000 cu.m","1,381,000,000,000 cu.m","1,020,000,000 mt","1,262,000,000 mt","-242,000,000 mt","127,727,000,000 mt",56.0%,"607,691,000","1,859",56,315,"6,371,847 km","65,554 km",0.1346
South Korea,"$2,607,000,000,000 USD","$418,219,000,000 USD","$44,800,000,000 USD","$553,871,450,000 USD","99,720 km","2,413 km",237 km,"1,600 km","52,081,799","26,040,900","21,353,538","416,654","450,000","3,100,000","120,000","65,000","365,000","70,000","411,394","Stock: 1,540			
Readiness: 1,078*","Stock: 242 (15.7%)

Readiness: 169*","Stock: 98 (6.4%)

Readiness: 69*","Stock: 40 (2.6%)

Readiness: 28*","Stock: 335 (21.8%)

Readiness: 235*","Stock: 35 (2.3%)

Readiness: 25*","Stock: 4 (0.3%)

Readiness: 3*","Stock: 827 (53.7%)

Readiness: 579*","Stock: 113 (7.3%)

Readiness: 79*","Stock: 1,831				
Readiness: 1,282*","Stock: 117,460            	
Readiness: 82,222*","Stock: 2,780				
Readiness: 1,946*","Stock: 5,800				
Readiness: 4,060*","Stock: 525				
Readiness: 368*",0.0,2.0,14.0,18.0,3.0,22.0,96.0,14.0,"38,000 bbl","2,542,000 bbl","-2,504,000 bbl",0 bbl,"55,127,000 cu.m","59,480,000,000 cu.m","-59,424,873,000 cu.m","7,079,000,000 cu.m","16,081,000 mt","136,817,000 mt","-120,736,000 mt","326,000,000 mt",97.0%,"29,713,000","2,149",15,92,"100,428 km","3,979 km",0.1642
France,"$3,732,000,000,000 USD","$282,857,000,000 USD","$67,232,395,000 USD","$7,691,315,390,000 USD","643,801 km","4,853 km","4,072 km","8,501 km","68,374,591","30,084,820","23,794,358","752,121","264,000","43,444","150,000","44,120","141,600","47,000","742,626","Stock: 974			
Readiness: 779*","Stock: 223 (22.9%)

Readiness: 178*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 118 (12.1%)

Readiness: 94*","Stock: 140 (14.4%)

Readiness: 112*","Stock: 44 (4.5%)

Readiness: 35*","Stock: 15 (1.5%)

Readiness: 12*","Stock: 452 (46.4%)

Readiness: 362*","Stock: 67 (6.9%)

Readiness: 54*","Stock: 427				
Readiness: 342*","Stock: 110,784            	
Readiness: 88,627*","Stock: 74				
Readiness: 59*","Stock: 0				
Readiness: 0*","Stock: 9				
Readiness: 7*",1.0,3.0,11.0,5.0,0.0,9.0,22.0,19.0,"80,000 bbl","1,536,000 bbl","-1,456,000 bbl","61,719,000 bbl","20,132,000 cu.m","37,001,000,000 cu.m","-36,980,868,000 cu.m","7,787,000,000 cu.m","2,157,000 mt","12,570,000 mt","-10,413,000 mt","160,000,000 mt",87.0%,"31,725,000",553,66,"1,218","1,053,215 km","27,860 km",0.1798
Japan,"$5,715,000,000,000 USD","$1,231,000,000,000 USD","$58,000,000,000 USD","$5,147,667,910,000 USD","377,915 km","29,751 km",NONE - ISLAND,"1,770 km","123,201,945","52,976,836","42,874,277","1,108,818","251,500","56,000","25,000","50,000","206,700","50,800","1,094,820","Stock: 1,429			
Readiness: 1,143*","Stock: 217 (15.2%)

Readiness: 174*","Stock: 47 (3.3%)

Readiness: 38*","Stock: 53 (3.7%)

Readiness: 42*","Stock: 399 (27.9%)

Readiness: 319*","Stock: 135 (9.4%)

Readiness: 108*","Stock: 10 (0.7%)

Readiness: 8*","Stock: 583 (40.8%)

Readiness: 466*","Stock: 118 (8.3%)

Readiness: 94*","Stock: 734				
Readiness: 587*","Stock: 54,390            	
Readiness: 43,512*","Stock: 193				
Readiness: 154*","Stock: 480				
Readiness: 384*","Stock: 99				
Readiness: 79*",0.0,4.0,41.0,8.0,0.0,23.0,6.0,18.0,"8,000 bbl","3,140,000 bbl","-3,132,000 bbl","44,115,000 bbl","2,220,000,000 cu.m","92,843,000,000 cu.m","-90,623,000,000 cu.m","20,898,000,000 cu.m","27,657,000 mt","197,612,000 mt","-169,955,000 mt","350,000,000 mt",87.0%,"69,382,000","5,229",163,280,"1,218,772 km","27,311 km",0.1876
United Kingdom,"$3,636,000,000,000 USD","$174,598,000,000 USD","$88,526,529,585 USD","$10,553,123,900,000 USD","243,610 km","12,429 km",499 km,"3,200 km","68,459,055","31,491,165","25,192,932","753,050","141,330","31,940",0,"34,800","108,413","37,890","743,543","Stock: 625			
Readiness: 406*","Stock: 103 (16.5%)

Readiness: 67*","Stock: 38 (6.1%)

Readiness: 25*","Stock: 30 (4.8%)

Readiness: 20*","Stock: 201 (32.2%)

Readiness: 131*","Stock: 29 (4.6%)

Readiness: 19*","Stock: 9 (1.4%)

Readiness: 6*","Stock: 262 (41.9%)

Readiness: 170*","Stock: 50 (8.0%)

Readiness: 33*","Stock: 288				
Readiness: 187*","Stock: 94,064            	
Readiness: 61,142*","Stock: 14				
Readiness: 9*","Stock: 126				
Readiness: 82*","Stock: 43				
Readiness: 28*",2.0,0.0,6.0,7.0,0.0,10.0,26.0,8.0,"753,000 bbl","1,406,000 bbl","-653,000 bbl","2,500,000,000 bbl","37,758,000,000 cu.m","70,141,000,000 cu.m","-32,383,000,000 cu.m","180,661,000,000 cu.m","1,568,000 mt","7,372,000 mt","-5,804,000 mt","26,000,000 mt",96.0%,"35,359,000",868,185,"1,057","416,461 km","16,390 km",0.1881
Turkiye,"$3,018,000,000,000 USD","$154,744,000,000 USD","$51,400,000,000 USD","$149,654,000,000 USD","783,562 km","7,200 km","2,816 km","1,200 km","84,119,531","42,985,080","36,087,279","1,430,032","481,000","380,000","150,000","52,850","401,500","100,000","1,411,979","Stock: 1,101			
Readiness: 771*","Stock: 201 (18.3%)

Readiness: 141*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 84 (7.6%)

Readiness: 59*","Stock: 301 (27.3%)

Readiness: 211*","Stock: 27 (2.5%)

Readiness: 19*","Stock: 7 (0.6%)

Readiness: 5*","Stock: 509 (46.2%)

Readiness: 356*","Stock: 111 (10.1%)

Readiness: 78*","Stock: 2,284				
Readiness: 1,599*","Stock: 98,193            	
Readiness: 68,735*","Stock: 1,045				
Readiness: 732*","Stock: 635				
Readiness: 445*","Stock: 237				
Readiness: 166*",0.0,1.0,0.0,17.0,9.0,14.0,40.0,11.0,"83,000 bbl","1,107,000 bbl","-1,024,000 bbl","366,000,000 bbl","379,701,000 cu.m","52,887,000,000 cu.m","-52,507,299,000 cu.m","3,794,000,000 cu.m","82,534,000 mt","124,183,000 mt","-41,649,000 mt","10,975,000,000 mt",87.0%,"36,081,000","1,170",54,116,"68,526 km","11,497 km",0.1975
Italy,"$3,133,000,000,000 USD","$290,547,000,000 USD","$37,325,165,000 USD","$3,025,000,000,000 USD","301,340 km","7,600 km","1,836 km","2,400 km","60,964,931","27,434,219","22,191,235","548,684","165,500","18,300","105,000","43,000","97,755","30,000","541,757","Stock: 714			
Readiness: 500*","Stock: 88 (12.3%)

Readiness: 62*","Stock: 65 (9.1%)

Readiness: 46*","Stock: 31 (4.3%)

Readiness: 22*","Stock: 152 (21.3%)

Readiness: 106*","Stock: 22 (3.1%)

Readiness: 15*","Stock: 8 (1.1%)

Readiness: 6*","Stock: 352 (49.3%)

Readiness: 246*","Stock: 37 (5.2%)

Readiness: 26*","Stock: 203				
Readiness: 142*","Stock: 87,364            	
Readiness: 61,155*","Stock: 64				
Readiness: 45*","Stock: 108				
Readiness: 76*","Stock: 21				
Readiness: 15*",2.0,0.0,3.0,14.0,0.0,8.0,15.0,10.0,"111,000 bbl","1,245,000 bbl","-1,134,000 bbl","497,934,000 bbl","3,117,000,000 cu.m","68,735,000,000 cu.m","-65,618,000,000 cu.m","45,750,000,000 cu.m","1,572,000 mt","12,424,000 mt","-10,852,000 mt","609,999,000 mt",87.0%,"25,828,000","1,276",123,655,"228,863 km","18,475 km",0.2211
