country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Afghanistan,75000,0,3902,0,0,5987 km,503000 mt,767000 Cu.M,0,0 km,0,145000000,0,1929750000,0,8826741,8852092000,0,0,9133000,0,0,80200000 Cu.M,80200000 Cu.M,58000 bbl,0 bbl,90000,842553,66000000 Cu.M,49554000000 Cu.M,0 bbl,82238000000,0 km,0,34903 km,0,0,0,0,0,0,652230 km,0,5,3,15647405,0,,40121552,68,0,0,2,1200 km
Albania,7500,0,1492,0,0,691 km,255000 mt,473000 Cu.M,33,362 km,0,720037190,0,5363000000,0,1292554,6516000000,0,0,1370000,3,0,50623000 Cu.M,50623000 Cu.M,21000 bbl,14000 bbl,500,62142,522000000 Cu.M,5692000000 Cu.M,150000000 bbl,51360000000,424 km,0,3581 km,270,10,0,0,0,0,28748 km,69,20,19,1522479,33,,3107100,3,0,0,1,41 km
Algeria,130000,0,24920,42,74,6734 km,3000 mt,0 Cu.M,75,998 km,8,25000000000,0,4764000000,111,19185169,83007000000,8,0,13294000,17,3,47963000000 Cu.M,100726000000 Cu.M,446000 bbl,1443000 bbl,150000,752360,233000000 Cu.M,4504000000000 Cu.M,12200000000 bbl,722912000000,4020 km,150000,112696 km,188,224,10,6,4,1485,2381740 km,119,620,300,22570787,111,83480,47022473,95,483,90,63,0 km
Angola,107000,0,2258,6,14,5369 km,0 mt,0 Cu.M,32,1600 km,0,31200000000,0,45299000000,67,3720206,14243000000,0,0,15961000,21,0,1397000000 Cu.M,5514000000 Cu.M,121000 bbl,1175000 bbl,10000,372021,0 Cu.M,343002000000 Cu.M,7783000000 bbl,278239000000,2761 km,0,76000 km,116,25,2,0,0,319,1246700 km,64,278,115,7440412,32,,37202061,107,575,56,32,1300 km
Argentina,108000,0,22432,11,0,11968 km,2534000 mt,869000 Cu.M,13,4989 km,6,993919790,3,74362000000,23,17575900,29560000000,0,0,22286000,37,0,46228000000 Cu.M,43280000000 Cu.M,749000 bbl,807000 bbl,20000,704916,799999000 Cu.M,396464000000 Cu.M,2483000000 bbl,1213000000000,17866 km,12370,240000 km,27,20,13,2,2,362,2780400 km,201,241,96,20677529,42,122128,46994384,764,172,71,25,11000 km
Armenia,65000,0,1412,14,20,1570 km,19000 mt,300 Cu.M,0,0 km,0,1480000000,0,6002000000,4,1366335,3685000000,0,0,1510000,0,0,2861000000 Cu.M,0 Cu.M,15000 bbl,0 bbl,5000,44651,317000000 Cu.M,0 Cu.M,0 bbl,60909000000,686 km,210000,7700 km,100,104,0,0,0,109,29743 km,0,69,36,1666988,0,,2976765,11,193,12,3,0 km
Australia,58910,0,17118,71,22,0 km,95667000 mt,445077000 Cu.M,13,25760 km,0,57350000000,3,3770254730000,24,9208398,60404000000,7,2,14912000,66,3,50188000000 Cu.M,153783000000 Cu.M,1151000 bbl,386000 bbl,0,294455,149472000000 Cu.M,3228000000000 Cu.M,2446000000 bbl,1635000000000,32606 km,33270,873573 km,8,0,31,6,6,46,7741220 km,604,348,72,11242811,45,199898,26768598,2257,48,107,37,2000 km
Austria,25000,0,5160,0,0,2524 km,5403000 mt,1288000 Cu.M,0,0 km,0,6103900800,0,693000000000,15,3632033,35406000000,0,0,4768000,0,0,8136000000 Cu.M,618209000 Cu.M,244000 bbl,18000 bbl,0,98648,0 Cu.M,5040000000 Cu.M,35200000 bbl,581131000000,6123 km,125600,126233 km,0,30,0,0,0,56,83871 km,1,90,41,4035592,0,,8967982,62,0,23,11,358 km
Azerbaijan,128000,0,14448,20,16,2468 km,6000 mt,0 Cu.M,17,713 km,0,5100000000,0,12378000000,12,3908638,12699000000,0,0,5020000,0,4,11759000000 Cu.M,34175000000 Cu.M,109000 bbl,618000 bbl,15000,159754,0 Cu.M,1699000000000 Cu.M,7000000000 bbl,225198000000,2944 km,306000,24981 km,696,135,0,4,0,1354,86600 km,312,159,87,5218617,32,,10650239,32,651,36,4,0 km
Bahrain,18400,0,5196,0,34,0 km,0 mt,0 Cu.M,50,161 km,2,997015509,0,54450000000,28,720768,4949000000,2,0,913300,4,0,17924000000 Cu.M,18005000000 Cu.M,72000 bbl,190000 bbl,1500,17236,0 Cu.M,81382000000 Cu.M,186500000 bbl,93937000000,0 km,110000,4122 km,18,38,0,0,0,150,760 km,184,137,66,846120,64,,1566888,3,26,40,3,0 km
