country,power_index_rank,power_index_score,purchasing_power_parity,foreign_exchange/gold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_(usable),total_population,available_manpower,fit-for-service,reaching_mil_age_annually,tot_mil._personnel_(est.),active_personnel,reserve_personnel,paramilitary,air_force_personnel*,army_personnel*,navy_personnel*,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_(fixed-wing),trainers,special-mission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,self-propelled_artillery,towed_artillery,mlrs_(rocket_artillery),total_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,nat.gas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports_/_trade_terminals,airports,roadway_coverage,railway_coverage,total_tonnage
2026Benin Military Strength,137.0,3.8963,116.0,134.0,137.0,33.0,96.0,8.0,52.0,92.0,73.0,77.0,90.0,65.0,4750.0,138.0,145.0,145.0,103.0,119.0,84.0,304742.0,106.0,145.0,145.0,50.0,145.0,30.0,145.0,91.0,145.0,145.0,142.0,145.0,90.0,145.0,81.0,145.0,145.0,145.0,145.0,145.0,145.0,63.0,145.0,145.0,29.0,40000.0,81.0,145.0,13.0,182131000.0,90.0,145.0,30.0,164000.0,145.0,47.0,74.0,113.0,46.0,101.0,116.0,109.0,0.0
2026Mexico Military Strength,36.0,0.6401,13.0,18.0,39.0,119.0,13.0,95.0,89.0,36.0,10.0,10.0,9.0,11.0,605653.0,17.0,47.0,12.0,22.0,22.0,7.0,2194520.0,28.0,62.0,22.0,19.0,14.0,12.0,145.0,26.0,145.0,145.0,29.0,54.0,145.0,145.0,20.0,145.0,145.0,145.0,18.0,14.0,145.0,8.0,145.0,11.0,118.0,360000.0,20.0,24.0,105.0,59144000000.0,40.0,35.0,91.0,8836000.0,42.0,20.0,11.0,28.0,21.0,4.0,12.0,12.0,0.0
2026Kenya Military Strength,84.0,1.8588,58.0,78.0,81.0,74.0,49.0,31.0,75.0,145.0,26.0,31.0,37.0,24.0,75000.0,74.0,145.0,28.0,62.0,69.0,65.0,920177.0,55.0,50.0,145.0,31.0,51.0,29.0,145.0,41.0,43.0,62.0,60.0,62.0,77.0,145.0,60.0,145.0,145.0,145.0,145.0,145.0,145.0,48.0,145.0,145.0,57.0,113000.0,145.0,145.0,1.0,0.0,145.0,145.0,53.0,1453000.0,145.0,45.0,29.0,99.0,43.0,18.0,32.0,50.0,0.0
2026Japan Military Strength,7.0,0.1876,5.0,2.0,9.0,139.0,60.0,103.0,999.0,46.0,11.0,13.0,12.0,20.0,332500.0,24.0,53.0,28.0,12.0,27.0,14.0,1094820.0,6.0,13.0,13.0,13.0,5.0,3.0,7.0,6.0,4.0,26.0,18.0,22.0,28.0,38.0,21.0,145.0,2.0,3.0,11.0,145.0,5.0,59.0,5.0,72.0,123.0,3132000.0,66.0,54.0,106.0,90623000000.0,69.0,18.0,114.0,169955000.0,53.0,14.0,10.0,4.0,4.0,23.0,6.0,11.0,4.0
2026Bhutan Military Strength,145.0,5.7991,140.0,130.0,143.0,14.0,127.0,999.0,24.0,145.0,140.0,140.0,140.0,141.0,66000.0,119.0,56.0,145.0,145.0,61.0,145.0,4367.0,110.0,145.0,145.0,145.0,145.0,145.0,145.0,94.0,145.0,145.0,143.0,145.0,145.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,2.0,4000.0,145.0,145.0,1.0,0.0,145.0,75.0,25.0,101000.0,145.0,13.0,140.0,145.0,145.0,106.0,124.0,145.0,0.0
2026Nigeria Military Strength,33.0,0.6097,27.0,54.0,61.0,84.0,31.0,40.0,91.0,17.0,6.0,5.0,5.0,6.0,280000.0,27.0,145.0,24.0,32.0,5.0,39.0,4207650.0,53.0,53.0,26.0,39.0,52.0,20.0,145.0,46.0,30.0,43.0,49.0,51.0,37.0,56.0,22.0,145.0,145.0,145.0,18.0,145.0,145.0,10.0,17.0,15.0,96.0,1014000.0,11.0,19.0,76.0,19232000000.0,9.0,55.0,50.0,4000.0,32.0,42.0,5.0,21.0,24.0,71.0,28.0,51.0,43.0
2026Singapore Military Strength,29.0,0.5272,34.0,11.0,25.0,132.0,145.0,12.0,999.0,145.0,106.0,92.0,96.0,112.0,315500.0,73.0,27.0,38.0,38.0,21.0,42.0,65476.0,42.0,22.0,145.0,42.0,46.0,23.0,6.0,42.0,27.0,64.0,39.0,47.0,68.0,63.0,35.0,145.0,145.0,145.0,13.0,11.0,12.0,28.0,15.0,145.0,115.0,1514000.0,145.0,145.0,69.0,13724000000.0,145.0,145.0,49.0,1153000.0,145.0,7.0,93.0,7.0,42.0,102.0,140.0,145.0,30.0
2026Slovenia Military Strength,91.0,1.9404,93.0,117.0,79.0,94.0,137.0,4.0,25.0,71.0,135.0,131.0,130.0,134.0,38000.0,135.0,68.0,45.0,95.0,84.0,80.0,22578.0,86.0,145.0,145.0,46.0,56.0,145.0,145.0,80.0,145.0,84.0,93.0,63.0,88.0,145.0,80.0,145.0,145.0,145.0,145.0,145.0,145.0,62.0,145.0,86.0,32.0,43996.0,145.0,90.0,27.0,837039000.0,145.0,42.0,58.0,131000.0,66.0,11.0,133.0,112.0,45.0,78.0,93.0,87.0,0.0
2026Guatemala Military Strength,96.0,2.1277,70.0,60.0,111.0,53.0,101.0,21.0,40.0,63.0,68.0,66.0,60.0,76.0,231114.0,54.0,49.0,26.0,76.0,30.0,61.0,180247.0,90.0,145.0,45.0,41.0,145.0,29.0,145.0,77.0,145.0,145.0,104.0,145.0,59.0,145.0,62.0,145.0,145.0,145.0,145.0,145.0,145.0,46.0,145.0,74.0,59.0,111000.0,62.0,92.0,4.0,290000.0,145.0,145.0,45.0,1012000.0,145.0,37.0,67.0,111.0,44.0,66.0,114.0,95.0,0.0
2026Bolivia Military Strength,82.0,1.8301,88.0,122.0,117.0,52.0,27.0,999.0,119.0,15.0,76.0,78.0,72.0,72.0,80000.0,82.0,60.0,145.0,45.0,76.0,53.0,230975.0,76.0,145.0,145.0,36.0,60.0,29.0,145.0,70.0,145.0,84.0,133.0,145.0,75.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,51.0,42000.0,48.0,36.0,45.0,10705000000.0,35.0,145.0,10.0,9000.0,78.0,28.0,70.0,90.0,145.0,29.0,56.0,52.0,0.0
