Country_Code,Country_Name,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
USA,United States,341963408,150463900,"124,816,644",4445524,1333030,799500,0,13032,1791,926,917,2610,611,610,"5,913",1024,4666,409660,1521,1878,1731,465,8265799.0,11,9,66,83,0,27,0,4,831500000000,24538900710000,25676000000000,910037000000,16116,174174000,666,3533,293564,"6,586,610                        						
							km",20953000,20307000,38212000000,1029000000000.0,914301000000.0,13402000000000.0,534234000.0,495156000,247883000000.0,9833517,19924,12002,41009
RUS,Russia,140820810,69002197,"46,189,226",1267387,1320000,2000000,250000,4237,861,698,458,530,137,18,"1,643",556,5630,126512,3603,5920,2486,747,1426539.0,1,0,66,13,12,79,70,45,212638272000,226475750000,6089000000000,597217000000,905,72517000,67,2910,85494,"1,283,387                        						
							km",10879000,3863000,80000000000,617830000000.0,472239000000.0,47805000000000.0,531130000.0,290763000,162166000000.0,17098242,37653,22407,102000
CHN,China,1415043270,764123366,"626,864,169",19810606,2035000,510000,625000,3529,1443,371,287,401,105,9,"1,007",281,5870,152040,2940,1400,2770,841,3192411.0,3,4,61,53,46,50,150,36,303000000000,488114000000,33598000000000,3456000000000,552,773880000,66,8314,150000,"5,200,000                        						
							km",4984000,16189000,26023000000,225341000000.0,366160000000.0,6654000000000.0,4805000000.0,5191000000,157041000000.0,9596960,14500,22457,27700
IND,India,1409128296,662290299,"522,786,598",23955181,1431000,1000000,2527000,2183,476,124,277,334,72,6,594,79,3913,163554,100,5640,300,343,631989.0,2,0,18,13,18,21,146,0,109000000000,212728000000,14244000000000,643043000000,315,607691000,56,1859,65554,"6,371,847                        						
							km",822000,5271000,4605000000,33170000000.0,58867000000.0,1381000000000.0,1020000000.0,1262000000,127727000000.0,3287263,7000,13888,14500
SKO,South Korea,52081799,26040900,"21,353,538",416654,450000,3100000,120000,1540,242,98,40,335,35,4,827,113,1831,117460,2780,5800,525,215,427946.0,0,2,22,14,18,3,96,14,44800000000,553871450000,2607000000000,418219000000,92,29713000,15,2149,3979,"100,428                        						
							km",38000,2542000,0,55127000.0,59480000000.0,7079000000.0,16081000.0,136817000,326000000.0,99720,2413,237,1600
FRA,France,68374591,30084820,"23,794,358",752121,264000,43444,150000,974,223,0,118,140,44,15,452,67,427,110784,74,0,9,166,487471.0,1,3,9,11,5,0,22,19,67232395000,7691315390000,3732000000000,282857000000,1218,31725000,66,553,27860,"1,053,215                        						
							km",80000,1536000,61719000,20132000.0,37001000000.0,7787000000.0,2157000.0,12570000,160000000.0,643801,4853,4072,8501
JPN,Japan,123201945,52976836,"42,874,277",1108818,251500,56000,25000,1429,217,47,53,399,135,10,583,118,734,54390,193,480,99,158,798062.0,0,4,23,41,8,0,6,18,58000000000,5147667910000,5715000000000,1231000000000,280,69382000,163,5229,27311,"1,218,772                        						
							km",8000,3140000,44115000,2220000000.0,92843000000.0,20898000000.0,27657000.0,197612000,350000000.0,377915,29751,0,1770
UKD,United Kingdom,68459055,31491165,"25,192,932",753050,141330,31940,0,625,103,38,30,201,29,9,262,50,288,94064,14,126,43,116,406308.0,2,0,10,6,7,0,26,8,88526529585,10553123900000,3636000000000,174598000000,1057,35359000,185,868,16390,"416,461                        						
							km",753000,1406000,2500000000,37758000000.0,70141000000.0,180661000000.0,1568000.0,7372000,26000000.0,243610,12429,499,3200
TKY,Turkiye,84119531,42985080,"36,087,279",1430032,481000,380000,150000,1101,201,0,84,301,27,7,509,111,2284,98193,1045,635,237,192,349739.0,0,1,14,0,17,9,40,11,51400000000,149654000000,3018000000000,154744000000,116,36081000,54,1170,11497,"68,526                        						
							km",83000,1107000,366000000,379701000.0,52887000000.0,3794000000.0,82534000.0,124183000,10975000000.0,783562,7200,2816,1200
ITA,Italy,60964931,27434219,"22,191,235",548684,165500,18300,105000,714,88,65,31,152,22,8,352,37,203,87364,64,108,21,285,387892.0,2,0,8,3,14,0,15,10,37325165000,3025000000000,3133000000000,290547000000,655,25828000,123,1276,18475,"228,863                        						
							km",111000,1245000,497934000,3117000000.0,68735000000.0,45750000000.0,1572000.0,12424000,609999000.0,301340,7600,1836,2400
